DATE,CCLACBW027SBOG
2011-06-22,600.0227
2011-06-29,601.1267
2011-07-06,601.6631
2011-07-13,600.7002
2011-07-20,600.9861
2011-07-27,600.68
2011-08-03,600.4456
2011-08-10,600.1511
2011-08-17,599.8982
2011-08-24,599.915
2011-08-31,600.0601
2011-09-07,599.6249
2011-09-14,599.9941
2011-09-21,599.6833
2011-09-28,600.6765
2011-10-05,602.562
2011-10-12,601.7981
2011-10-19,601.8499
2011-10-26,601.6035
2011-11-02,600.952
2011-11-09,601.5043
2011-11-16,601.6305
2011-11-23,601.5233
2011-11-30,602.7026
2011-12-07,601.2202
2011-12-14,601.4181
2011-12-21,600.9694
2011-12-28,602.1126
2012-01-04,603.589
2012-01-11,601.5075
2012-01-18,601.0378
2012-01-25,598.6007
2012-02-01,599.9631
2012-02-08,598.9489
2012-02-15,598.0399
2012-02-22,596.9693
2012-02-29,599.8705
2012-03-07,599.7833
2012-03-14,600.6433
2012-03-21,600.1085
2012-03-28,601.2187
2012-04-04,601.8089
2012-04-11,599.8889
2012-04-18,599.103
2012-04-25,598.1105
2012-05-02,609.6936
2012-05-09,608.4548
2012-05-16,608.0392
2012-05-23,607.519
2012-05-30,611.3156
2012-06-06,609.829
2012-06-13,609.7396
2012-06-20,608.6759
2012-06-27,607.8022
2012-07-04,608.5131
2012-07-11,607.3429
2012-07-18,606.8556
2012-07-25,605.924
2012-08-01,607.4578
2012-08-08,607.4373
2012-08-15,607.3063
2012-08-22,607.4008
2012-08-29,608.8157
2012-09-05,608.4231
2012-09-12,606.8704
2012-09-19,607.0023
2012-09-26,606.4679
2012-10-03,608.4508
2012-10-10,608.4054
2012-10-17,607.5108
2012-10-24,607.3767
2012-10-31,609.7471
2012-11-07,609.3246
2012-11-14,609.4901
2012-11-21,607.8811
2012-11-28,609.3186
2012-12-05,606.5881
2012-12-12,606.1702
2012-12-19,606.4613
2012-12-26,607.3286
2013-01-02,608.3776
2013-01-09,607.2846
2013-01-16,606.1473
2013-01-23,606.8494
2013-01-30,608.8014
2013-02-06,608.2009
2013-02-13,608.3743
2013-02-20,607.5753
2013-02-27,609.2666
2013-03-06,607.6365
2013-03-13,613.2837
2013-03-20,612.529
2013-03-27,612.4856
2013-04-03,612.4278
2013-04-10,612.08
2013-04-17,612.3639
2013-04-24,611.8818
2013-05-01,612.1143
2013-05-08,612.3978
2013-05-15,612.5754
2013-05-22,613.3628
2013-05-29,614.8816
2013-06-05,614.6913
2013-06-12,615.3308
2013-06-19,615.1871
2013-06-26,615.159
2013-07-03,613.0992
2013-07-10,613.1973
2013-07-17,612.0249
2013-07-24,610.7336
2013-07-31,610.9816
2013-08-07,611.0368
2013-08-14,611.5275
2013-08-21,611.4644
2013-08-28,611.6526
2013-09-04,612.424
2013-09-11,611.631
2013-09-18,611.6796
2013-09-25,611.3361
2013-10-02,613.045
2013-10-09,613.127
2013-10-16,613.4323
2013-10-23,613.7998
2013-10-30,615.5837
2013-11-06,615.2694
2013-11-13,615.7208
2013-11-20,599.0572
2013-11-27,597.6993
2013-12-04,599.4297
2013-12-11,599.8758
2013-12-18,599.6384
2013-12-25,601.0578
2014-01-01,600.0586
2014-01-08,600.5729
2014-01-15,599.3512
2014-01-22,600.0618
2014-01-29,601.3119
2014-02-05,601.5615
2014-02-12,601.0362
2014-02-19,602.7093
2014-02-26,603.2368
2014-03-05,602.965
2014-03-12,603.4742
2014-03-19,604.384
2014-03-26,604.177
2014-04-02,604.0045
2014-04-09,604.8925
2014-04-16,606.5768
2014-04-23,607.2582
2014-04-30,608.3983
2014-05-07,608.7876
2014-05-14,610.4683
2014-05-21,610.1638
2014-05-28,609.9949
2014-06-04,610.4745
2014-06-11,611.7182
2014-06-18,611.3847
2014-06-25,610.9158
2014-07-02,611.4588
2014-07-09,612.6079
2014-07-16,612.879
2014-07-23,613.1015
2014-07-30,614.5235
2014-08-06,613.7646
2014-08-13,614.5438
2014-08-20,615.1794
2014-08-27,615.6398
2014-09-03,617.9164
2014-09-10,616.9579
2014-09-17,617.5337
2014-09-24,617.252
2014-10-01,618.6556
2014-10-08,617.9858
2014-10-15,617.9888
2014-10-22,618.9952
2014-10-29,619.3623
2014-11-05,620.1456
2014-11-12,622.4393
2014-11-19,622.5565
2014-11-26,620.733
2014-12-03,621.0186
2014-12-10,623.0504
2014-12-17,622.3439
2014-12-24,625.1988
2014-12-31,623.4424
2015-01-07,624.6812
2015-01-14,625.8308
2015-01-21,625.644
2015-01-28,625.7017
2015-02-04,625.6524
2015-02-11,627.3723
2015-02-18,627.4168
2015-02-25,625.3791
2015-03-04,626.0404
2015-03-11,626.4527
2015-03-18,626.8255
2015-03-25,627.6793
2015-04-01,630.5657
2015-04-08,631.7422
2015-04-15,631.6598
2015-04-22,632.5195
2015-04-29,633.8343
2015-05-06,634.127
2015-05-13,634.9934
2015-05-20,634.7031
2015-05-27,635.0478
2015-06-03,634.5719
2015-06-10,636.5031
2015-06-17,636.0494
2015-06-24,638.4931
2015-07-01,639.175
2015-07-08,640.1368
2015-07-15,640.147
2015-07-22,641.5307
2015-07-29,642.7581
2015-08-05,643.9837
2015-08-12,644.8771
2015-08-19,645.7798
2015-08-26,645.5869
2015-09-02,646.7208
2015-09-09,649.2447
2015-09-16,648.8834
2015-09-23,648.9361
2015-09-30,651.0499
2015-10-07,652.1654
2015-10-14,653.5092
2015-10-21,653.7821
2015-10-28,653.2841
2015-11-04,654.5739
2015-11-11,655.1256
2015-11-18,656.1264
2015-11-25,655.8329
2015-12-02,656.4069
2015-12-09,657.7255
2015-12-16,658.3053
2015-12-23,659.1348
2015-12-30,660.2724
2016-01-06,664.0035
2016-01-13,663.806
2016-01-20,665.2596
2016-01-27,663.8792
2016-02-03,664.2518
2016-02-10,664.6502
2016-02-17,664.7769
2016-02-24,663.9548
2016-03-02,665.476
2016-03-09,669.7178
2016-03-16,670.3757
2016-03-23,672.0887
2016-03-30,674.3134
2016-04-06,674.0435
2016-04-13,673.4765
2016-04-20,675.6178
2016-04-27,676.2583
2016-05-04,677.3429
2016-05-11,677.5214
2016-05-18,678.5128
2016-05-25,677.547
2016-06-01,679.4031
2016-06-08,681.4155
2016-06-15,682.5173
2016-06-22,692.4516
2016-06-29,694.1604
2016-07-06,696.0021
2016-07-13,696.4584
2016-07-20,697.819
2016-07-27,697.6857
2016-08-03,698.6207
2016-08-10,699.6067
2016-08-17,700.2686
2016-08-24,700.8593
2016-08-31,701.0048
2016-09-07,702.1242
2016-09-14,702.62
2016-09-21,703.2751
2016-09-28,703.8567
2016-10-05,705.5954
2016-10-12,705.7414
2016-10-19,706.3189
2016-10-26,705.1442
2016-11-02,706.1096
2016-11-09,706.1979
2016-11-16,705.9654
2016-11-23,706.4113
2016-11-30,711.2353
2016-12-07,710.9252
2016-12-14,712.0842
2016-12-21,711.395
2016-12-28,712.2369
2017-01-04,714.6649
2017-01-11,713.0536
2017-01-18,714.9825
2017-01-25,713.1726
2017-02-01,714.7009
2017-02-08,715.4095
2017-02-15,714.5916
2017-02-22,716.084
2017-03-01,716.5561
2017-03-08,716.6128
2017-03-15,716.6459
2017-03-22,717.8056
2017-03-29,717.1178
2017-04-05,718.1493
2017-04-12,720.1202
2017-04-19,719.7472
2017-04-26,718.6027
2017-05-03,719.4871
2017-05-10,719.4418
2017-05-17,720.0604
2017-05-24,721.0534
2017-05-31,722.2481
2017-06-07,722.1589
2017-06-14,723.275
2017-06-21,726.0993
2017-06-28,726.2562
2017-07-05,728.3243
2017-07-12,728.7481
2017-07-19,728.9708
2017-07-26,728.4586
2017-08-02,729.0334
2017-08-09,730.2536
2017-08-16,729.5716
2017-08-23,730.9177
2017-08-30,731.8098
2017-09-06,733.065
2017-09-13,736.4292
2017-09-20,737.7714
2017-09-27,737.3293
2017-10-04,738.799
2017-10-11,738.8962
2017-10-18,753.8301
2017-10-25,753.2854
2017-11-01,755.7295
2017-11-08,758.4899
2017-11-15,758.8173
2017-11-22,759.5886
2017-11-29,763.2199
2017-12-06,762.3548
2017-12-13,762.7899
2017-12-20,763.4113
2017-12-27,764.0763
2018-01-03,767.2128
2018-01-10,767.8994
2018-01-17,769.0573
2018-01-24,766.8377
2018-01-31,768.7095
2018-02-07,768.2834
2018-02-14,768.5945
2018-02-21,768.2618
2018-02-28,768.5034
2018-03-07,770.4134
2018-03-14,769.4013
2018-03-21,770.2979
2018-03-28,770.2584
2018-04-04,786.0579
2018-04-11,785.8684
2018-04-18,786.4151
2018-04-25,786.5579
2018-05-02,786.6618
2018-05-09,787.9384
2018-05-16,788.4345
2018-05-23,788.9799
2018-05-30,792.3822
2018-06-06,792.2248
2018-06-13,793.3851
2018-06-20,792.9103
2018-06-27,793.045
2018-07-04,793.3997
2018-07-11,791.9018
2018-07-18,792.9381
2018-07-25,793.356
2018-08-01,793.0985
2018-08-08,795.4029
2018-08-15,795.1814
2018-08-22,796.5351
2018-08-29,797.4777
2018-09-05,798.8542
2018-09-12,797.9778
2018-09-19,799.1571
2018-09-26,798.599
2018-10-03,800.4052
2018-10-10,801.4888
2018-10-17,800.7164
2018-10-24,801.6859
2018-10-31,804.3534
2018-11-07,802.4284
2018-11-14,804.3571
2018-11-21,805.2115
2018-11-28,808.2392
2018-12-05,805.6993
